t,lin_x,ang_z
1.0227185650000001,0.13795891404151917,-0.1490122377872467
1.072744197,0.10159412771463394,-0.14733430743217468
1.1225836900000001,0.11497922986745834,-0.12184642255306244
1.1728798820000002,0.10909851640462875,-0.12556612491607666
1.222867039,0.11623889952898026,-0.1554977148771286
1.272886502,0.08869487792253494,-0.11053185909986496
1.3228157200000001,0.12244857847690582,-0.1009853407740593
1.3729229920000001,0.1572701334953308,-0.13570068776607513
1.422925857,0.13599690794944763,-0.15522482991218567
1.4728975420000001,0.11435750126838684,-0.14572708308696747
1.5227830390000001,0.11735767126083374,-0.1234208196401596
1.572700989,0.1047242134809494,-0.12822546064853668
1.622678542,0.1394997537136078,-0.11201296746730804
1.672860167,0.13885773718357086,-0.15018701553344727
1.7228572050000002,0.14523227512836456,-0.16356565058231354
1.7727239940000001,0.14319057762622833,-0.19769495725631714
1.822833759,0.15757152438163757,-0.18069864809513092
1.872961955,0.16586242616176605,-0.1569625586271286
1.9227747570000002,0.15002544224262238,-0.10131537914276123
1.972808657,0.14096452295780182,-0.0645579993724823
2.022571744,0.12827534973621368,-0.07055260986089706
2.072674881,0.14300405979156494,-0.006506915669888258
2.122663041,0.1632331758737564,-0.021648144349455833
2.1727235790000003,0.15488627552986145,0.012842811644077301
2.2226826010000003,0.17635789513587952,-0.0032812103163450956
2.2727618090000004,0.18128319084644318,-0.04422464594244957
2.32267754,0.16690446436405182,-0.09475541859865189
2.372635125,0.1586010903120041,-0.12610958516597748
2.422649933,0.14159947633743286,-0.10869818925857544
2.472969045,0.13296161592006683,-0.13574251532554626
2.522824921,0.12695594131946564,-0.09169967472553253
2.572789026,0.1410888284444809,-0.0672169178724289
2.62266826,0.17341317236423492,-0.014713316224515438
2.6728945410000002,0.1591677963733673,-0.060957588255405426
2.7228588680000003,0.1414194107055664,-0.06731417775154114
2.772821066,0.12320772558450699,-0.08786877989768982
2.822822953,0.12246382981538773,0.012131220102310186
2.8731059,0.09639612585306168,0.02062344178557396
2.922727548,0.10045106709003448,-0.014415312558412552
2.972896195,0.15963436663150787,0.01126178726553917
3.022872592,0.1508273184299469,0.05033579468727112
3.0729237940000003,0.1881064623594284,0.005785486660897732
3.1227698850000003,0.148595929145813,-0.018934577703475952
3.173021545,0.13727925717830658,-0.02480933628976345
3.2227349100000002,0.09676189720630646,0.043635930866003036
3.27283355,0.11457483470439911,0.041207026690244675
3.322624637,0.1427619606256485,0.11400654911994934
3.3731758330000003,0.14622245728969574,0.06533101201057434
3.4227132260000004,0.1529955267906189,0.0641571432352066
3.4728661200000004,0.165994793176651,0.05993693321943283
3.5228588820000004,0.17439351975917816,0.056500472128391266
3.5731185880000003,0.15072812139987946,0.03639530763030052
3.622908562,0.13857506215572357,0.03587314486503601
3.67270346,0.12298179417848587,0.053696684539318085
3.72263321,0.10035887360572815,-0.0031201853416860104
3.7725372490000004,0.0983000323176384,-0.02483278326690197
3.8227044630000004,0.14394308626651764,0.00950617529451847
3.872758633,0.1574268788099289,0.10950617529451848
3.922790629,0.14994338154792786,0.14721344411373138
3.9728665550000004,0.12779049575328827,0.11534761637449265
4.022901594,0.10618676245212555,0.11708279699087143
4.072973994,0.12114829570055008,0.10203605145215988
4.122831253,0.12653467059135437,0.12379007041454315
4.173024457,0.12492350488901138,0.09348341077566147
4.222820981,0.12709641456604004,0.09803708642721176
4.272753295,0.1107562780380249,0.0743689015507698
4.322876389,0.08985814452171326,0.06925326585769653
4.372760208,0.12535959482192993,0.07156123220920563
4.4226731720000005,0.13338831067085266,0.0785587951540947
4.472702528,0.15480495989322662,0.12913715839385986
4.522827009,0.15056359767913818,0.04431445896625519
4.572696198,0.16068677604198456,0.02643473446369171
4.622775546000001,0.10900760442018509,0.050408028066158295
