t,parent,child,tx,ty,tz,yaw
1.011776995,map,odom,2.148284985196681,-1.3559373352390391,0.0,0.7663554645500251
1.051926675,map,odom,2.148284985196681,-1.3559373352390391,0.0,0.7663554645500251
1.0623994490000002,base_link,base_scan,0.1,0.0,0.0,0.0
1.0624359780000001,base_link,base_scan,0.1,0.0,0.0,0.0
1.155083879,map,odom,2.2491502269966714,-1.345921759047272,0.0,0.7802678308264254
1.211719441,map,odom,2.2491502269966714,-1.345921759047272,0.0,0.7802678308264254
1.355278787,map,odom,2.2491502269966714,-1.345921759047272,0.0,0.7802678308264254
1.451820974,map,odom,2.2491502269966714,-1.345921759047272,0.0,0.7802678308264254
1.5514345550000002,map,odom,2.2491502269966714,-1.345921759047272,0.0,0.7802678308264254
1.614472675,map,odom,2.2946859604125103,-1.3547817069832109,0.0,0.7842381136938325
1.711490176,map,odom,2.2946859604125103,-1.3547817069832109,0.0,0.7842381136938325
1.8140272540000002,map,odom,2.2946859604125103,-1.3547817069832109,0.0,0.7842381136938325
1.912358876,map,odom,2.2946859604125103,-1.3547817069832109,0.0,0.7842381136938325
1.9913954980000002,odom,base_link,3.214795300794132,5.835501413796286,0.0,1.330512404619711
2.011108983,odom,base_link,3.2160159485427147,5.840471341991048,0.0,1.3294011416174631
2.014291886,map,odom,2.348700547616193,-1.3372667249381294,0.0,0.7899708375339813
2.0315470760000003,odom,base_link,3.2172335730026926,5.845396868539241,0.0,1.32749511209217
2.051344624,odom,base_link,3.2183198561756563,5.849772659543599,0.0,1.3274386763969137
2.0711820640000003,odom,base_link,3.2195660188841875,5.854799580580912,0.0,1.3281556704318178
2.091711548,odom,base_link,3.220843746243719,5.859959144366406,0.0,1.3279197286583415
2.111668431,odom,base_link,3.2219641418392087,5.86447672427844,0.0,1.3274671511759124
2.111989406,map,odom,2.348700547616193,-1.3372667249381294,0.0,0.7899708375339813
2.1314237670000002,odom,base_link,3.223260695907437,5.869695438653855,0.0,1.3270997061735834
2.151413472,odom,base_link,3.224546768642721,5.874864972140971,0.0,1.3268341366725658
2.171046065,odom,base_link,3.225823956211777,5.879993781140764,0.0,1.3266420798002847
2.191148671,odom,base_link,3.227107828166458,5.885154719172882,0.0,1.3273145388777894
2.211041938,odom,base_link,3.228310724324277,5.889982059879211,0.0,1.325857047528171
2.231376081,odom,base_link,3.2296081395432017,5.895156716633016,0.0,1.3244140235107111
2.251398173,odom,base_link,3.2308661379504646,5.900139600118542,0.0,1.322585990994138
2.255563951,map,odom,2.348700547616193,-1.3372667249381294,0.0,0.7899708375339813
2.271151607,odom,base_link,3.23211229314494,5.905036948969398,0.0,1.3206721719119876
2.29136985,odom,base_link,3.2333926099571118,5.910023459856407,0.0,1.3182662494044097
2.3114052540000003,odom,base_link,3.2346815195179706,5.914989354301653,0.0,1.3154289930554632
2.331153108,odom,base_link,3.23605352277514,5.920218933104159,0.0,1.3130193486110662
2.3511681760000003,odom,base_link,3.2374687764603576,5.925571687006172,0.0,1.3116083151255882
2.351548314,map,odom,2.348700547616193,-1.3372667249381294,0.0,0.7899708375339813
2.371092456,odom,base_link,3.2387047706699135,5.930225151614454,0.0,1.3107581309233856
2.3913770000000003,odom,base_link,3.240094367488261,5.9354304477538316,0.0,1.3090853033029317
2.4112403120000003,odom,base_link,3.241561831811065,5.940888884565252,0.0,1.307240466646824
2.431234095,odom,base_link,3.242797517641071,5.945457225491824,0.0,1.306017138757919
2.4515493960000003,odom,base_link,3.244128652286587,5.950345134487076,0.0,1.3038070722062765
2.455867952,map,odom,2.370708254566632,-1.331912146415092,0.0,0.7916964235155134
2.471065216,odom,base_link,3.2455016050284207,5.955341673231457,0.0,1.3014608232561213
2.491190097,odom,base_link,3.2469893813972943,5.960710183004864,0.0,1.299440646857136
2.5112223460000003,odom,base_link,3.2483386580403883,5.965530543602916,0.0,1.2962978600657002
2.531193281,odom,base_link,3.249822136122686,5.970770467003105,0.0,1.2935130625581877
2.551505316,odom,base_link,3.251209180719435,5.975615299218949,0.0,1.2904091985905954
2.571814227,odom,base_link,3.2526856255535486,5.980712953066687,0.0,1.2873471639720675
2.591178,odom,base_link,3.254103810992154,5.985559277750617,0.0,1.2848800450015334
2.611432142,odom,base_link,3.2556355946578375,5.990737777853997,0.0,1.2815202403801853
2.611555809,map,odom,2.370708254566632,-1.331912146415092,0.0,0.7916964235155134
2.631463617,odom,base_link,3.2570296433281767,5.995404607999311,0.0,1.2795188312032486
2.651276048,odom,base_link,3.2585248099438067,6.000369534815001,0.0,1.2770586011383036
