t,lin_x,ang_z
2.010708601,0.16356942057609558,0.026341862976551056
2.060551946,0.1686141937971115,-0.00291245523840189
2.110830789,0.17733362317085266,-0.017939109355211258
2.16052553,0.15794384479522705,-0.06071330979466438
2.210827714,0.1715075969696045,-0.07491548359394073
2.2605202980000003,0.1484386920928955,-0.07103927433490753
2.3109998440000004,0.15850763022899628,-0.07334338128566742
2.3605922,0.18124620616436005,-0.11330226063728333
2.410624631,0.16848792135715485,-0.10000564157962799
2.4606694350000002,0.16169127821922302,-0.07817859947681427
2.510761093,0.15356332063674927,-0.06483674049377441
2.560664257,0.1604669988155365,-0.06416662037372589
2.6106653140000002,0.16355939209461212,-0.09699198603630066
2.660543063,0.1735847145318985,-0.05013630539178848
2.710798147,0.1708196997642517,-0.011609752662479877
2.760606044,0.1664280891418457,-0.0028865914791822433
2.810774039,0.1811380386352539,0.014966984279453754
2.8606155070000003,0.1685546487569809,0.03489523008465767
2.910797313,0.19518855214118958,0.02809639647603035
2.961035533,0.20253852009773254,0.015842629596590996
3.010752209,0.19056017696857452,-0.0032997652888298035
3.0605396390000004,0.15283648669719696,-0.021855611354112625
3.1106795210000002,0.1563994139432907,0.006984826177358627
3.16073921,0.160535529255867,0.023149916902184486
3.211061094,0.1482144296169281,0.031239965930581093
3.260617389,0.16549792885780334,0.039787933230400085
3.3109354690000004,0.17101892828941345,0.03164391964673996
3.360683427,0.16400474309921265,0.06768766045570374
3.4107765110000003,0.16724084317684174,0.07579702138900757
3.460827144,0.15039308369159698,0.08407264947891235
3.510949729,0.16146588325500488,0.07050639390945435
3.56072815,0.17253568768501282,0.05829830840229988
3.610643871,0.1618805229663849,0.06494464725255966
3.6605509460000003,0.13187731802463531,0.11039004474878311
3.7107446590000004,0.1120687797665596,0.14317914843559265
3.760628735,0.13331040740013123,0.11107270419597626
3.8106524060000004,0.14378279447555542,0.09021008014678955
3.860570891,0.15703937411308289,0.05606456845998764
3.9106075710000003,0.17717476189136505,0.03970646485686302
3.9606385750000004,0.15427249670028687,0.004410062916576862
4.010930808,0.14977765083312988,0.024682488292455673
4.060595413000001,0.13908562064170837,0.02422567456960678
4.110651718000001,0.13770398497581482,0.04873909056186676
4.1606596620000005,0.16715818643569946,0.08204271644353867
4.2108831360000005,0.16469478607177734,0.06577549874782562
4.260705927,0.17460717260837555,0.06867975741624832
