t,x,y,yaw
1.992979985,0.5027999565184966,4.961672432584773,2.1508871690495504
2.0140327350000002,0.46511151858753413,5.055723234955076,2.119972987679056
2.4556006210000003,0.41629078525042745,5.157249995610405,2.0955698247890777
2.914688843,0.3747545065475,5.262444787551315,2.049874935329594
3.413988829,0.33423014132729106,5.381739447439603,2.035965801789072
3.855235394,0.2970072512870332,5.4866864570142155,2.068460647414056
4.354958604,0.22886570100817252,5.5956356535395715,2.1264525763911903
4.813720407,0.18802425773039164,5.68707129984132,2.1578254217047945
5.214746579000001,0.14621426709511115,5.771743461291191,2.1900668687858484
5.555043983,0.09484134930967186,5.82680412078095,2.291259549901711
5.814462179,0.06597794340724188,5.857991969276048,2.420387015964427
6.055890695,0.018226284179071694,5.8867771623685705,2.562902969882966
6.256247921000001,-0.011995595987656371,5.895881853400999,2.674507027327065
6.513565206,-0.07344847080675872,5.910424511596237,2.8168925609382094
8.054297513,-0.14050558328236776,5.925042450047721,2.9061183269946476
8.513453786000001,-0.2608433382108486,5.941521947841801,3.0136608150973307
8.954684509,-0.38141883223836226,5.93891105838537,3.120138029630814
9.455114196,-0.503676890903962,5.920501041012455,-3.0500535442055927
9.853518047000001,-0.5906903702709663,5.8885042691622,-2.9182090065161037
10.215121789000001,-0.6719134597970912,5.845467032356505,-2.791360101393112
10.754415693,-0.7937729490549102,5.769895149143111,-2.6721471236581116
11.354512103000001,-0.914072289828613,5.676410623691722,-2.551599603340359
11.91489136,-1.0136814505497755,5.582438277676045,-2.4377827779206007
13.713947975000002,-1.1074715192335622,5.463401263207952,-2.38696505952685
14.114017472,-1.181515114354846,5.373671650824664,-2.425029454507213
14.454751566,-1.2396230221227753,5.309245336719211,-2.4725948562968427
14.913551045,-1.320133428339713,5.245340635178738,-2.5564060392130563
15.314079704000001,-1.3909749527579858,5.1930933601196445,-2.6049910185698453
15.815609317000002,-1.4907021413596695,5.135865958201763,-2.667483661972772
16.454944736,-1.6384967329853026,5.072798931111583,-2.692627847430992
17.014115689,-1.7625705069581161,5.025220623035162,-2.681150108199759
17.614182442,-1.908045935536277,4.980520411141647,-2.6706435644760775
18.154765921000003,-2.044211435456033,4.927192836318124,-2.6345695346135964
18.553391671,-2.138068220105427,4.891663643090398,-2.5753220670559336
19.15618286,-2.271177392846078,4.798248857541158,-2.474989599512403
19.854500806,-2.4189281818580235,4.679312156197174,-2.437371596898783
20.31338158,-2.4935220491656205,4.579376750957697,-2.3289673214792375
22.156542486000003,-2.5491488999308,4.413439326033386,-2.2549552619526194
22.714353299000003,-2.6285872824391054,4.268612299128704,-2.2392309793326666
23.414226439,-2.696272259982848,4.093638788971145,-2.178257877982137
